property_type,society,sector,price,price_per_sqrt,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,dlf park place,sector 54,5.75,24689.0,3,4,3,12.0,Relatively New,2329.0,0,1,0,0,0,2,174,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,palam vihar society,sector 2,3.35,7444.0,4,4,3+,2.0,New Property,5000.0,1,0,0,0,0,1,66,"28.5095° N, 77.0320° E",28.5095,77.032
flat,tulip violet,sector 69,1.4,8856.0,3,3,2,9.0,Relatively New,1428.0,0,0,0,1,0,1,120,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,m3m golf hills phase 1,sector 79,1.7,10828.0,3,2,3,10.0,Relatively New,1570.0,0,0,0,0,0,1,0,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,godrej nature plus,sector 33,1.35,8670.0,3,2,3+,17.0,New Property,1409.0,0,0,0,0,0,1,38,"28.4420° N, 77.0207° E",28.442,77.0207
flat,experion the heartsong,sector 108,0.9,7014.0,2,3,3,7.0,Relatively New,1161.0,0,1,0,0,1,1,72,"28.5134° N, 77.9830° E",28.5134,77.983
flat,shree vardhman victoria,sector 70,1.65,8461.0,3,4,3,12.0,Relatively New,1765.0,0,1,1,0,0,1,56,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,pyramid urban homes 2,sector 86,0.6,8000.0,3,2,2,2.0,New Property,833.0,0,0,0,0,0,1,13,"28.3986° N, 77.9384° E",28.3986,77.9384
house,independent,sector 3,0.55,6707.0,2,2,1,2.0,Moderately Old,810.0,0,0,0,0,0,1,0,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,signature global synera,sector 81,0.48,8450.0,2,2,1,7.0,Relatively New,613.0,0,0,0,0,0,0,70,"28.3867° N, 76.9485° E",28.3867,76.9485
house,international city by sobha phase 1,sector 109,6.3,9000.0,4,5,3+,2.0,Relatively New,7000.0,0,0,0,0,0,0,122,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,shyam apartment,sector 3,0.26,3714.0,2,1,2,2.0,Relatively New,611.0,0,0,0,0,0,1,0,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,ramsons kshitij,sector 95,0.17,544.0,1,1,1,12.0,Relatively New,3569.0,0,0,0,0,0,1,56,"28.4172° N, 77.9081° E",28.4172,77.9081
house,emaar emerald hills,sector 65,12.5,34722.0,4,4,3+,2.0,Relatively New,3600.0,1,1,0,0,0,1,56,"28.4030° N, 77.0690° E",28.403,77.069
flat,capital residences 360,sector 70a,1.51,7641.0,3,3,3,7.0,Relatively New,1788.0,0,1,0,0,0,1,49,"28.3845° N, 77.0226° E",28.3845,77.0226
flat,vatika gurgaon,sector 83,1.4,6628.0,3,3,2,7.0,Relatively New,1570.0,0,0,0,0,0,0,74,"28.3986° N, 77.9647° E",28.3986,77.9647
flat,ramprastha skyz,sector 37d,1.0,4942.0,3,5,3,11.0,Under Construction,1833.0,0,1,0,0,1,1,8,"28.4478° N, 77.9703° E",28.4478,77.9703
flat,whiteland blissville,sector 76,1.9,11363.0,3,3,2,0.0,Under Construction,1513.0,0,0,0,0,0,1,61,"28.3935° N, 77.9888° E",28.3935,77.9888
flat,emaar mgf the palm drive,sector 66,3.5,15909.0,3,3,3,7.0,Moderately Old,2125.0,0,1,1,0,0,0,149,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,signature global solera,sector 107,0.5,7751.0,3,2,2,6.0,Relatively New,717.0,0,0,0,0,1,1,49,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,pivotal devaan,sector 84,0.35,6003.0,2,2,1,4.0,Relatively New,528.0,0,0,0,0,0,1,37,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,whiteland the aspen,sector 76,3.35,17615.0,3,4,3+,5.0,New Property,2111.0,0,1,0,0,0,2,151,"28.3935° N, 77.9888° E",28.3935,77.9888
flat,umang winter hills,sector 77,0.75,5588.0,2,2,2,7.0,Relatively New,1180.0,0,0,0,0,0,0,174,"28.3901° N, 77.9845° E",28.3901,77.9845
flat,puri diplomatic greens,sector 111,3.9,13000.0,4,5,3+,6.0,Relatively New,2996.0,0,1,0,0,0,2,160,"28.5238° N, 77.0320° E",28.5238,77.032
flat,pyramid urban homes 2,sector 86,0.41,8283.0,2,2,1,7.0,New Property,557.0,1,1,0,1,1,1,49,"28.3986° N, 77.9384° E",28.3986,77.9384
flat,vatika gurgaon,sector 83,1.15,5808.0,3,3,2,3.0,Relatively New,1350.0,1,1,1,1,0,0,165,"28.3986° N, 77.9647° E",28.3986,77.9647
flat,la vida by tata housing,sector 113,2.48,14090.0,3,3,3+,8.0,New Property,1980.0,0,1,0,0,0,1,79,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,adani m2k oyster grande,sector 102,1.95,7561.0,3,4,3,9.0,Relatively New,2334.0,1,1,0,0,0,0,83,"28.4750° N, 77.9715° E",28.475,77.9715
flat,sunischit apartments,sector 54,1.75,7954.0,3,3,3+,6.0,Moderately Old,2100.0,0,1,0,0,0,0,126,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,sobha city,sector 108,2.4,17378.0,2,2,2,14.0,New Property,1250.0,0,0,0,0,0,0,113,"28.5134° N, 77.9830° E",28.5134,77.983
house,independent,sector 7,1.16,11693.0,2,4,2,3.0,Moderately Old,1102.0,0,0,0,0,1,1,39,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,ireo uptown,sector 66,2.4,13064.0,3,2,3,5.0,Relatively New,1700.0,0,1,0,0,0,0,156,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,ansal heights 86,sector 86,1.3,4666.0,4,6,2,11.0,New Property,2521.0,0,1,0,0,1,1,86,"28.3986° N, 77.9384° E",28.3986,77.9384
flat,dlf garden city floors,sector 92,1.7,8588.0,3,4,2,1.0,Relatively New,1475.0,0,0,0,0,0,1,63,"28.4079° N, 77.9153° E",28.4079,77.9153
house,sai kripa floors 5,sector 11,0.9,11250.0,2,5,3,3.0,Relatively New,800.0,0,0,0,0,0,1,0,"28.4531° N, 77.0202° E",28.4531,77.0202
house,independent,sector 57,6.21,23000.0,6,6,3+,4.0,Old Property,2700.0,1,1,1,1,0,1,52,"28.4232° N, 77.0752° E",28.4232,77.0752
flat,dlf new town heights,sector 90,1.55,6556.0,4,4,3+,1.0,Relatively New,2139.0,0,1,0,1,0,1,81,"28.4085° N, 77.9369° E",28.4085,77.9369
flat,palam vihar extension west zone rwa,sector 2,0.2,4000.0,1,1,1,1.0,Moderately Old,556.0,0,0,0,0,1,1,0,"28.5095° N, 77.0320° E",28.5095,77.032
flat,ireo skyon,sector 60,2.5,16129.0,2,3,2,4.0,Relatively New,1403.0,1,0,0,0,0,1,100,"28.4003° N, 77.0975° E",28.4003,77.0975
flat,indiabulls enigma,sector 110,3.7,10882.0,4,5,3,7.0,Relatively New,3077.0,0,1,0,0,0,1,156,"28.5145° N, 77.0197° E",28.5145,77.0197
flat,umang monsoon breeze,sector 78,0.88,4746.0,3,4,3,8.0,Moderately Old,1668.0,0,1,0,1,0,1,111,"28.3733° N, 77.9729° E",28.3733,77.9729
flat,today callidora,sector 73,0.9,5548.0,3,3,3,3.0,Under Construction,1622.0,0,1,0,0,0,1,63,"28.4072° N, 77.0118° E",28.4072,77.0118
flat,mapsko mount ville,sector 79,1.25,7716.0,3,3,2,1.0,Relatively New,1212.0,1,0,0,1,0,0,166,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,avl 36 gurgaon,sector 36a,0.36,8990.0,1,1,1,7.0,Relatively New,407.0,0,0,0,0,0,1,95,"28.4147° N, 76.9780° E",28.4147,76.978
house,international city by sobha phase 1,sector 109,5.5,21605.0,4,4,3+,2.0,New Property,2430.0,0,1,0,0,0,1,61,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,earth copia,sector 112,0.7,4673.0,2,2,2,4.0,Relatively New,1498.0,0,0,0,0,0,1,65,"28.5282° N, 77.0176° E",28.5282,77.0176
flat,shree vardhman victoria,sector 70,1.65,8461.0,3,3,2,6.0,Relatively New,2167.0,1,0,0,0,0,1,72,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,godrej,sector 79,1.29,8206.0,2,2,3,4.0,New Property,1423.0,0,0,0,0,0,1,0,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,emaar mgf palm terraces select,sector 66,3.4,14107.0,4,4,3+,2.0,Relatively New,2210.0,0,1,0,0,0,0,157,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,signature global city,sector 37d,1.1,8494.0,3,3,2,2.0,Relatively New,1439.0,0,0,0,0,0,1,36,"28.4478° N, 77.9703° E",28.4478,77.9703
flat,apna enclave,sector 3,0.8,6153.0,3,3,1,0.0,Old Property,1000.0,0,0,0,0,0,1,0,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,signature global synera,sector 81,0.4,6319.0,2,2,1,12.0,Relatively New,586.0,0,0,0,0,0,1,23,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,pyramid urban homes 2,sector 86,0.42,8483.0,2,2,1,2.0,New Property,557.0,1,1,0,1,1,1,84,"28.3986° N, 77.9384° E",28.3986,77.9384
flat,bestech park view grand spa,sector 81,3.0,9419.0,4,5,2,6.0,Relatively New,2882.0,0,1,0,0,0,0,110,"28.3867° N, 76.9485° E",28.3867,76.9485
house,international city by sobha phase 2,sector 109,7.0,11240.0,5,5,3+,2.0,Relatively New,6228.0,0,1,0,0,0,1,129,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,shree vardhman flora,sector 90,1.25,4854.0,4,5,2,8.0,Relatively New,2330.0,1,1,0,0,0,1,165,"28.4085° N, 77.9369° E",28.4085,77.9369
